date,bill_number,total,paid_cash,paid_card,paid_customer_card,user
01.02.2018,135300,"76,64","76,64",,,Anna
01.02.2018,135301,"13,35",,"13,35",,Anna
01.02.2018,135302,"8,71",,"8,71",,Anna
01.02.2018,135303,"15,08","15,08",,,Anna
01.02.2018,135304,"50,02","50,02",,,Alex
01.02.2018,135305,"80,44","80,44",,,Alex
01.02.2018,135306,"70,19","70,19",,,Alex
01.02.2018,135307,"113,17","113,17",,,Marie
01.02.2018,135308,"101,22",,"101,22",,Marie
01.02.2018,135309,"27,07","27,07",,,Marie
01.02.2018,135310,"111,1","111,1",,,Marie
01.02.2018,135311,"65,51",,"65,51",,Marie
01.02.2018,135312,"116,33","116,33",,,Marie
01.02.2018,135313,"70,12","70,12",,,Marie
01.02.2018,135314,"116,6","116,6",,,Anna
01.02.2018,135315,"11,7","11,7",,,Anna
01.02.2018,135316,"105,26","105,26",,,Marie
01.02.2018,135317,"42,47",,"42,47",,Anna
01.02.2018,135318,"84,18","84,18",,,Alex
01.02.2018,135319,"6,46",,,"6,46",Alex
01.02.2018,135320,"23,48","23,48",,,Alex
01.02.2018,135321,"65,11","65,11",,,Marie
01.02.2018,135322,"60,07","60,07",,,Anna
01.02.2018,135323,"17,8",,,"17,8",Marie
01.02.2018,135324,"4,2",,,"4,2",Marie
01.02.2018,135325,"41,33","41,33",,,Marie
01.02.2018,135326,"24,6","24,6",,,Marie
01.02.2018,135327,"14,76",,"14,76",,Alex
01.02.2018,135328,"101,27","101,27",,,Anna
01.02.2018,135329,"40,72","40,72",,,Anna
01.02.2018,135330,"53,55",,"53,55",,Anna
02.02.2018,135331,"58,06","58,06",,,Anna
02.02.2018,135332,"7,8",,,"7,8",Alex
02.02.2018,135333,"33,36",,"33,36",,Alex
02.02.2018,135334,"33,75","33,75",,,Alex
02.02.2018,135335,"5,94",,"5,94",,Marie
02.02.2018,135336,"64,53",,"64,53",,Marie
02.02.2018,135337,"81,73","81,73",,,Marie
02.02.2018,135338,"110,07","110,07",,,Marie
02.02.2018,135339,"48,65","48,65",,,Marie
02.02.2018,135340,"117,59","117,59",,,Marie
02.02.2018,135341,"33,98","33,98",,,Marie
02.02.2018,135342,"38,37",,"38,37",,Anna
02.02.2018,135343,"22,95","22,95",,,Anna
02.02.2018,135344,"52,52","52,52",,,Marie
02.02.2018,135345,"20,21","20,21",,,Anna
02.02.2018,135346,"26,05",,"26,05",,Alex
02.02.2018,135347,"95,12","95,12",,,Alex
02.02.2018,135348,"26,89","26,89",,,Alex
02.02.2018,135349,"103,52","103,52",,,Marie
02.02.2018,135350,"33,76","33,76",,,Anna
02.02.2018,135351,"12,6",,"12,6",,Marie
02.02.2018,135352,"88,65",,"88,65",,Marie
02.02.2018,135353,"37,27","37,27",,,Marie
02.02.2018,135354,"6,45","6,45",,,Marie
02.02.2018,135355,"24,9","24,9",,,Alex
02.02.2018,135356,"30,33","30,33",,,Anna
02.02.2018,135357,"2,13",,"2,13",,Anna
02.02.2018,135358,"80,35","80,35",,,Anna
02.02.2018,135359,"116,6","116,6",,,Anna
02.02.2018,135360,"66,78","66,78",,,Alex
02.02.2018,135361,"15,77","15,77",,,Alex
02.02.2018,135362,"62,91","62,91",,,Alex
02.02.2018,135363,"109,22",,"109,22",,Marie
02.02.2018,135364,"112,89","112,89",,,Marie
02.02.2018,135365,"29,93",,,"29,93",Marie
02.02.2018,135366,"23,04",,,"23,04",Marie
02.02.2018,135367,"98,64","98,64",,,Marie
02.02.2018,135368,"23,1","23,1",,,Marie
02.02.2018,135369,"12,07",,"12,07",,Marie
02.02.2018,135370,"111,8","111,8",,,Anna
02.02.2018,135371,"86,31",,"86,31",,Anna
02.02.2018,135372,"69,99","69,99",,,Marie
02.02.2018,135373,"19,54","19,54",,,Anna
02.02.2018,135374,"39,03","39,03",,,Alex
03.02.2018,135375,"10,05","10,05",,,Alex
03.02.2018,135376,"77,12","77,12",,,Alex
03.02.2018,135377,"36,46","36,46",,,Marie
03.02.2018,135378,"73,99","73,99",,,Anna
03.02.2018,135379,"38,96",,"38,96",,Marie
03.02.2018,135380,"82,82","82,82",,,Marie
03.02.2018,135381,"12,55","12,55",,,Marie
03.02.2018,135382,"24,84","24,84",,,Marie
03.02.2018,135383,"31,72","31,72",,,Alex
03.02.2018,135384,"62,25","62,25",,,Anna
03.02.2018,135385,"44,18","44,18",,,Anna
03.02.2018,135386,"119,42","119,42",,,Anna
03.02.2018,135387,"75,35",,"75,35",,Anna
03.02.2018,135388,"116,45","116,45",,,Alex
03.02.2018,135389,"82,87","82,87",,,Alex
03.02.2018,135390,"106,16","106,16",,,Alex
03.02.2018,135391,"52,68","52,68",,,Marie
03.02.2018,135392,"40,01","40,01",,,Marie
03.02.2018,135393,"56,05","56,05",,,Marie
03.02.2018,135394,"39,06","39,06",,,Marie
03.02.2018,135395,"26,79",,"26,79",,Marie
03.02.2018,135396,"12,68",,,"12,68",Marie
03.02.2018,135397,"86,13",,"86,13",,Marie
03.02.2018,135398,"51,41","51,41",,,Anna
03.02.2018,135399,"57,25",,"57,25",,Anna
03.02.2018,135400,"14,66",,"14,66",,Marie
03.02.2018,135401,"37,8","37,8",,,Anna
03.02.2018,135402,"62,81","62,81",,,Alex
03.02.2018,135403,"51,11","51,11",,,Alex
03.02.2018,135404,"33,98",,"33,98",,Alex
03.02.2018,135405,"57,3","57,3",,,Marie
03.02.2018,135406,"110,42",,"110,42",,Anna
03.02.2018,135407,"119,63","119,63",,,Marie
03.02.2018,135408,"62,26","62,26",,,Marie
03.02.2018,135409,"98,44","98,44",,,Marie
03.02.2018,135410,"77,36",,"77,36",,Marie
03.02.2018,135411,"111,47","111,47",,,Alex
03.02.2018,135412,"69,76",,"69,76",,Anna
03.02.2018,135413,"95,29","95,29",,,Anna
03.02.2018,135414,"27,5","27,5",,,Anna
03.02.2018,135415,"69,94","69,94",,,Anna
03.02.2018,135416,"85,52","85,52",,,Alex
03.02.2018,135417,"45,45","45,45",,,Alex
03.02.2018,135418,"8,68","8,68",,,Alex
04.02.2018,135419,"85,22","85,22",,,Marie
04.02.2018,135420,"78,31",,"78,31",,Marie
04.02.2018,135421,"116,16","116,16",,,Marie
04.02.2018,135422,"92,33",,"92,33",,Marie
