date,bill_number,total,paid_cash,paid_card,paid_customer_card,user
01.01.2018,34634,"21,27",,"21,27",,Anna
01.01.2018,34845,"105,56","105,56",,,Anna
01.01.2018,35015,"5,2",,,"5,2",Alex
01.01.2018,35115,"26,28",,"26,28",,Alex
01.01.2018,35125,"95,26","95,26",,,Alex
01.01.2018,35379,"83,67","83,67",,,Alex
01.01.2018,35397,"75,84","75,84",,,Alex
01.01.2018,35449,"73,05","73,05",,,Alex
01.01.2018,35547,30,,,30,Alex
01.01.2018,35621,"39,87",,"39,87",,Marie
01.01.2018,35756,"87,15","87,15",,,Marie
01.01.2018,35858,"62,64",,"62,64",,Marie
01.01.2018,35902,"35,28","35,28",,,Marie
01.01.2018,36221,"36,21","36,21",,,Marie
01.01.2018,36322,"63,65",,"63,65",,Marie
01.01.2018,36531,"44,11",,,"44,11",Marie
01.01.2018,36775,"48,38",,,"48,38",Marie
01.01.2018,36847,"62,16","62,16",,,Marie
01.01.2018,36878,111,111,,,Anna
01.01.2018,37244,"110,83","110,83",,,Alex
01.01.2018,37286,"33,16","33,16",,,Alex
01.01.2018,37382,"107,94","107,94",,,Alex
01.01.2018,37431,"48,94","48,94",,,Alex
01.01.2018,37528,"110,93",,"110,93",,Marie
01.01.2018,37577,"117,23","117,23",,,Marie
01.01.2018,37609,"5,29",,,"5,29",Marie
01.01.2018,37898,"46,18","46,18",,,Marie
01.01.2018,37903,"93,52",,"93,52",,Anna
01.01.2018,37914,"45,87",,,"45,87",Anna
01.01.2018,38132,"2,63",,,"2,63",Alex
01.01.2018,38213,"97,2","97,2",,,Alex
01.01.2018,38277,"35,76","35,76",,,Alex
01.01.2018,38473,"14,9",,,"14,9",Alex
01.01.2018,38543,"6,95",,,"6,95",Alex
01.01.2018,38635,"1,76","1,76",,,Alex
01.01.2018,38662,"87,53","87,53",,,Alex
01.01.2018,38747,"75,48","75,48",,,Marie
01.01.2018,38828,"116,74","116,74",,,Anna
01.01.2018,38848,"54,01",,"54,01",,Anna
02.01.2018,38916,"6,22",,"6,22",,Alex
02.01.2018,38965,"29,33","29,33",,,Alex
02.01.2018,39071,"92,55","92,55",,,Alex
02.01.2018,39072,"1,35",,,"1,35",Alex
02.01.2018,39360,"76,94",,"76,94",,Alex
02.01.2018,39546,"109,27",,"109,27",,Alex
02.01.2018,39592,"105,85",,"105,85",,Alex
02.01.2018,39739,"80,53",,"80,53",,Marie
02.01.2018,39836,"91,69","91,69",,,Marie
02.01.2018,39999,"66,75","66,75",,,Marie
02.01.2018,40063,"100,42","100,42",,,Marie
02.01.2018,40122,"27,98","27,98",,,Marie
02.01.2018,40227,"4,4",,,"4,4",Marie
02.01.2018,40500,"36,3","36,3",,,Marie
02.01.2018,40528,"23,01",,"23,01",,Marie
02.01.2018,40591,"23,38",,"23,38",,Marie
02.01.2018,40676,"89,49","89,49",,,Anna
02.01.2018,40749,"60,78","60,78",,,Alex
02.01.2018,40789,"40,34","40,34",,,Alex
02.01.2018,40808,"62,98","62,98",,,Alex
02.01.2018,40895,"55,6","55,6",,,Alex
02.01.2018,40928,"105,57","105,57",,,Marie
02.01.2018,40934,"6,75",,,"6,75",Marie
02.01.2018,40988,"23,33","23,33",,,Marie
02.01.2018,41092,"34,26","34,26",,,Marie
02.01.2018,41252,"41,04","41,04",,,Anna
02.01.2018,41389,"78,69","78,69",,,Anna
02.01.2018,41420,"37,98","37,98",,,Alex
02.01.2018,41478,"65,78","65,78",,,Alex
02.01.2018,41798,"41,64","41,64",,,Alex
02.01.2018,41825,"35,22",,"35,22",,Alex
02.01.2018,41852,"118,29",,"118,29",,Alex
03.01.2018,41973,"22,46","22,46",,,Alex
03.01.2018,41978,"9,79","9,79",,,Alex
03.01.2018,42117,"61,52","61,52",,,Marie
03.01.2018,42129,"96,31","96,31",,,Anna
03.01.2018,42197,"36,65",,"36,65",,Anna
03.01.2018,42389,"37,51",,,"37,51",Alex
03.01.2018,42447,"37,73","37,73",,,Alex
03.01.2018,42532,"103,98","103,98",,,Alex
03.01.2018,42608,"81,8","81,8",,,Alex
03.01.2018,42619,"111,51","111,51",,,Alex
03.01.2018,42726,"60,41","60,41",,,Alex
03.01.2018,42878,"84,24",,"84,24",,Alex
03.01.2018,43102,"12,48",,,"12,48",Marie
03.01.2018,43156,"14,33",,,"14,33",Marie
03.01.2018,43301,"40,36","40,36",,,Alex
03.01.2018,43391,"15,19",,"15,19",,Marie
03.01.2018,43463,"26,53",,"26,53",,Marie
03.01.2018,43523,"78,02","78,02",,,Marie
03.01.2018,43714,"83,99","83,99",,,Alex
03.01.2018,44007,"113,9",,"113,9",,Marie
03.01.2018,44099,"43,57","43,57",,,Marie
03.01.2018,44111,"12,02","12,02",,,Anna
03.01.2018,44250,"68,85","68,85",,,Alex
03.01.2018,44327,"67,13","67,13",,,Alex
03.01.2018,44413,"96,49","96,49",,,Alex
03.01.2018,44619,"64,47","64,47",,,Alex
03.01.2018,44832,"16,48",,,"16,48",Marie
03.01.2018,44837,"78,52","78,52",,,Marie
03.01.2018,44946,"20,61",,,"20,61",Alex
03.01.2018,45027,"91,77",,"91,77",,Marie
03.01.2018,45094,"68,09","68,09",,,Anna
03.01.2018,45145,"74,99",,,"74,99",Anna
04.01.2018,45145,"103,41","103,41",,,Alex
04.01.2018,45277,"35,08",,,"35,08",Alex
04.01.2018,45410,"47,21",,"47,21",,Alex
04.01.2018,45418,"111,19","111,19",,,Alex
04.01.2018,45465,"69,73","69,73",,,Alex
04.01.2018,45560,"59,18","59,18",,,Alex
04.01.2018,45598,"34,63","34,63",,,Marie
04.01.2018,45723,"35,05",,"35,05",,Marie
04.01.2018,45768,"7,35",,,"7,35",Alex
04.01.2018,46010,"2,18",,"2,18",,Marie
04.01.2018,46143,"71,08","71,08",,,Anna
04.01.2018,46152,38,,,38,Anna
04.01.2018,46324,"62,54","62,54",,,Alex
04.01.2018,46351,"61,97","61,97",,,Alex
04.01.2018,46387,"111,39","111,39",,,Alex
04.01.2018,46493,"4,3",,"4,3",,Alex
04.01.2018,46763,"82,15",,"82,15",,Alex
04.01.2018,46789,"103,5","103,5",,,Alex
04.01.2018,46811,"58,01",,"58,01",,Marie
04.01.2018,46943,"1,88",,,"1,88",Marie
