warengruppe,artikel,anzahl
1190 Torten,Schwarzwäldertorte 24cm,33
1340 Apéro,Riesenbrezel gemischt gefüllt,23
1190 Torten,Streuselkuchen ganz,56
1190 Torten,Mandarinen/Zimt Torte 20cm (saisonal),26
1170 Kuchen,Hefestollen ( Russenzopf ) gross,67
1190 Torten,Beerentorte 26cm (saisonal),19
1000 Brot Gross,Bauernbrot 1000g,90
1000 Brot Gross,Vollkornbrot 1000g,99
1000 Brot Gross,Kürbiskernbrot 500g,110
1190 Torten,Tiramisu Torte 24cm,100
1000 Brot Gross,Bauernbrot 500g,112
1140 Trockenstückli,"Rhabarber- Streuselkuchen, 20 cm",23
1170 Kuchen,Hefekranz,22
1190 Torten,Schwarzwäldertorte 20cm (750gr.),111
<Keine Warengruppe definiert>,Banane,100
1170 Kuchen,Karotten,112
2000 Pfand,Marlboro gold,32
1090 Mittagsmenues,Suppe gross m. Brot,42
<Keine Warengruppe definiert>,Pouletcurry-Salat,43
1000 Brot Gross,Vollkornbrot 250g,80
1000 Brot Gross,Halbweissbrot 1000g,43
<Keine Warengruppe definiert>,"Sauerkirsch- Streuselkuchen, 20 cm",139
1120 Patisserie,Schwedenschnitte,48
1170 Kuchen,Schokolade,109
1150 Hefe Gebäcke,Berliner,113
1000 Brot Gross,Halbweiss-Teig,53
1170 Kuchen,Zitronen,15
1080 Zöpfe,Laugenbutterzopf,25
<Keine Warengruppe definiert>,Randen-Apfelsalat,38
1090 Mittagsmenues,Hühnchen-Spiess,29
<Keine Warengruppe definiert>,Panini mit Fleisch TS,20
1040 Spezialbrot,Hirtenbrot kg,27
1330 Konfekt,Amaretti Kirsch 3er,25
1150 Hefe Gebäcke,Holländertörtchen,36
1120 Patisserie,Erdbeertörtchen,38
1150 Hefe Gebäcke,Linzertörtchen,39
1090 Mittagsmenues,Cervelat,22
1430 3-Königstag,Königskuchen 10er,112
1320 Pralinés,6er Truffes au Champagner,111
<Keine Warengruppe definiert>,Karottensuppe,27
1000 Brot Gross,Halbweissbrot 500g,38
<Keine Warengruppe definiert>,Vollkornbrot 500g,38
