warengruppe,artikel,anzahl
1190 Torten,Schwarzwäldertorte 24cm,72
1340 Apéro,Riesenbrezel gemischt gefüllt,111
1190 Torten,Streuselkuchen ganz,116
1190 Torten,Mandarinen/Zimt Torte 20cm (saisonal),174
1170 Kuchen,Hefestollen ( Russenzopf ) gross,259
1190 Torten,Beerentorte 26cm (saisonal),205
1000 Brot Gross,Bauernbrot 1000g,240
1000 Brot Gross,Vollkornbrot 1000g,23
1000 Brot Gross,Kürbiskernbrot 500g,114
1190 Torten,Tiramisu Torte 24cm,104
1000 Brot Gross,Bauernbrot 500g,260
1140 Trockenstückli,"Rhabarber- Streuselkuchen, 20 cm",138
1170 Kuchen,Hefekranz,49
1190 Torten,Schwarzwäldertorte 20cm (750gr.),83
<Keine Warengruppe definiert>,Banane,188
1170 Kuchen,Karotten,119
2000 Pfand,Marlboro gold,224
1090 Mittagsmenues,Suppe gross m. Brot,33
<Keine Warengruppe definiert>,Pouletcurry-Salat,83
1000 Brot Gross,Vollkornbrot 250g,176
1000 Brot Gross,Halbweissbrot 1000g,236
<Keine Warengruppe definiert>,"Sauerkirsch- Streuselkuchen, 20 cm",253
1120 Patisserie,Schwedenschnitte,12
1170 Kuchen,Schokolade,278
1150 Hefe Gebäcke,Berliner,248
1000 Brot Gross,Halbweiss-Teig,219
1170 Kuchen,Zitronen,10
1080 Zöpfe,Laugenbutterzopf,294
<Keine Warengruppe definiert>,Randen-Apfelsalat,80
1090 Mittagsmenues,Hühnchen-Spiess,126
<Keine Warengruppe definiert>,Panini mit Fleisch TS,195
1040 Spezialbrot,Hirtenbrot kg,93
1330 Konfekt,Amaretti Kirsch 3er,204
1150 Hefe Gebäcke,Holländertörtchen,143
1120 Patisserie,Erdbeertörtchen,188
1150 Hefe Gebäcke,Linzertörtchen,110
1090 Mittagsmenues,Cervelat,11
1430 3-Königstag,Königskuchen 10er,129
1320 Pralinés,6er Truffes au Champagner,75
<Keine Warengruppe definiert>,Karottensuppe,10
1000 Brot Gross,Halbweissbrot 500g,264
<Keine Warengruppe definiert>,Vollkornbrot 500g,186
<Keine Warengruppe definiert>,Kürbiskernbrot 250g,38
1350 Diverses,Bäcker Frühstück,218
1430 3-Königstag,Königskuchen 8er,1
1320 Pralinés,4er Truffes Classique,45
<Keine Warengruppe definiert>,Ananas Royal,234
1120 Patisserie,Fruchtschnitte,159
1040 Spezialbrot,Goldkornbrot,25
1120 Patisserie,Vermicelleschnitte,225
1040 Spezialbrot,Grahambrot,270
1300 Spezialitäten,Sirup Passions 450gr,16
1430 3-Königstag,Königskuchen 6er,205
<Keine Warengruppe definiert>,Paillasse-Sandwich mit Schinken,111
1150 Hefe Gebäcke,Apfel - Berliner,261
1150 Hefe Gebäcke,Blechkuchen,64
1000 Brot Gross,Halbweissbrot 250g,219
<Keine Warengruppe definiert>,Panini vegetarisch TS,69
1040 Spezialbrot,Dinkelbrot kg,150
1000 Brot Gross,Landbrot 500g,194
1090 Mittagsmenues,Suppe klein m. Brot,178
1220 Canapés,Mini-Canapé Lachs,206
1100 Mini Sachen,Grahambrötchen,30
1090 Mittagsmenues,Bratwurst,289
<Keine Warengruppe definiert>,Brezel,210
1000 Brot Gross,Baguette,79
1330 Konfekt,Karamellwürfel,150
1330 Konfekt,Bahnschienen,142
<Keine Warengruppe definiert>,Tomatensuppe,77
1080 Zöpfe,Butterzopf 700g,10
<Keine Warengruppe definiert>,Rotkrautsuppe,36
1150 Hefe Gebäcke,Nussstange,34
<Keine Warengruppe definiert>,Cole-Slowsalat,279
1150 Hefe Gebäcke,Schnecke,278
1000 Brot Gross,Kartoffelbrot 1000g,88
1940 Weihnachtsguezli / Teig,Zimtstern Weihnachten,217
1140 Trockenstückli,Keks marmoriert,25
1940 Weihnachtsguezli / Teig,Honigstern,18
1220 Canapés,Thon Canapé,112
1220 Canapés,Salami Sandwich,146
1120 Patisserie,Baileys-Mousse,222
1040 Spezialbrot,Nussbrot,281
1040 Spezialbrot,Alpenbrot (Monatsbrot),45
1040 Spezialbrot,Dinkelbrot,16
1090 Mittagsmenues,Wähen,167
1100 Mini Sachen,Dinkelbrötchen,175
1040 Spezialbrot,Paraformbrot,53
<Keine Warengruppe definiert>,Weisses Schokoladen Mousse,58
1040 Spezialbrot,Knebelbrot,255
1120 Patisserie,Maroni Püree,59
<Keine Warengruppe definiert>,Brombeer Mousse,284
1040 Spezialbrot,Fastenbrot,68
1120 Patisserie,Himbeer - Mousse,136
1100 Mini Sachen,Zopftier,42
1100 Mini Sachen,Pausenbrötchen,219
1040 Spezialbrot,Kürbiskernen - Grahambrot,128
<Keine Warengruppe definiert>,Chiabrot,46
<Keine Warengruppe definiert>,Mini-Canapé Antipasti,5
1070 Getränke,Apfelsaft,106
1140 Trockenstückli,Küche Drucker,153
<Keine Warengruppe definiert>,Kiwi Tortenstück,120
<Keine Warengruppe definiert>,Kirschen Quark,209
1100 Mini Sachen,Buttercroissant,120
1250 Wähen,Käse,208
1150 Hefe Gebäcke,Mandelstange,106
<Keine Warengruppe definiert>,Paniermehl,142
1100 Mini Sachen,Wecke2,265
1440 Samichlaus,Grittibänz klein,64
1150 Hefe Gebäcke,Vanille-Plunder,3
1100 Mini Sachen,Paraformbrötchen,116
1130 Aperogebäck,Petit Four Erdbeertörtchen,248
1940 Weihnachtsguezli / Teig,"Spitzbuben Weihnachten, Himbeer gross",75
1130 Aperogebäck,Petit Four Schwedentörtchen,181
<Keine Warengruppe definiert>,Petit Four Pâte à Choux,236
1130 Aperogebäck,Petit Four Schwarzwälder,255
1070 Getränke,Milch 1Liter,193
1940 Weihnachtsguezli / Teig,Mailänderli gross,274
1150 Hefe Gebäcke,Pflaumenkuchen,178
1940 Weihnachtsguezli / Teig,Brunsli gross,295
1140 Trockenstückli,Schokoladenring,30
1130 Aperogebäck,Petit Four Schokokuss,149
1100 Mini Sachen,5-Korn Brötchen,29
1100 Mini Sachen,Knebelbrötchen,35
1340 Apéro,Midi-Apéro Schinkengipfel,57
1100 Mini Sachen,Laugenbrezel,11
1100 Mini Sachen,Körnerbrötchen,75
1100 Mini Sachen,Maisbrötchen,272
1100 Mini Sachen,Rusticobrötchen,274
<Keine Warengruppe definiert>,Butterzopf klein,143
1150 Hefe Gebäcke,Himbeer Berliner,34
<Keine Warengruppe definiert>,Mango,208
1100 Mini Sachen,Zick Zack Wecke,12
1240 Salate / Birchermüesli,Birchermüsli rot 250gr.,83
<Keine Warengruppe definiert>,Zitrone,222
<Keine Warengruppe definiert>,Stracciatella,168
<Keine Warengruppe definiert>,Vanille,104
1100 Mini Sachen,Laugenbrötchen,195
1240 Salate / Birchermüesli,Birchermüsli hell 250gr.,57
1080 Zöpfe,Butterzopf klein 300g,250
1140 Trockenstückli,Spitzbub,51
1070 Getränke,Ice Tea,131
<Keine Warengruppe definiert>,Schokolade,199
1140 Trockenstückli,Haselnussecke,71
<Keine Warengruppe definiert>,Erdbeere,260
